danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.404,0.705,4,-3.324,1,0.0315,0.128,0.0,0.123,0.42,154.02,track,5P8ZvBQoCrujjNcLAxO3Su,spotify:track:5P8ZvBQoCrujjNcLAxO3Su,https://api.spotify.com/v1/tracks/5P8ZvBQoCrujjNcLAxO3Su,https://api.spotify.com/v1/audio-analysis/5P8ZvBQoCrujjNcLAxO3Su,340080,4
0.388,0.457,0,-5.662,1,0.0305,0.592,0.0,0.489,0.621,180.775,track,42KsMmJ8sbWrfy6WMNWySo,spotify:track:42KsMmJ8sbWrfy6WMNWySo,https://api.spotify.com/v1/tracks/42KsMmJ8sbWrfy6WMNWySo,https://api.spotify.com/v1/audio-analysis/42KsMmJ8sbWrfy6WMNWySo,277427,4
0.634,0.756,9,-5.866,1,0.0284,0.594,0.0016,0.194,0.399,117.971,track,04utPBobXAMjh3QF0MxyqA,spotify:track:04utPBobXAMjh3QF0MxyqA,https://api.spotify.com/v1/tracks/04utPBobXAMjh3QF0MxyqA,https://api.spotify.com/v1/audio-analysis/04utPBobXAMjh3QF0MxyqA,256347,4
0.362,0.532,1,-6.708,1,0.0304,0.189,0.0,0.059,0.195,121.393,track,3fxaN9pj6g4crVCzMTqRd0,spotify:track:3fxaN9pj6g4crVCzMTqRd0,https://api.spotify.com/v1/tracks/3fxaN9pj6g4crVCzMTqRd0,https://api.spotify.com/v1/audio-analysis/3fxaN9pj6g4crVCzMTqRd0,332433,3
0.589,0.521,7,-7.517,1,0.0259,0.497,0.0,0.119,0.243,99.893,track,3Ro8jrbsWu0VSk1odLLYuo,spotify:track:3Ro8jrbsWu0VSk1odLLYuo,https://api.spotify.com/v1/tracks/3Ro8jrbsWu0VSk1odLLYuo,https://api.spotify.com/v1/audio-analysis/3Ro8jrbsWu0VSk1odLLYuo,334319,4
0.642,0.914,2,-3.316,1,0.115,0.0948,0.0,0.365,0.448,94.004,track,4Ls20opS0EzPb7NuA6F8VI,spotify:track:4Ls20opS0EzPb7NuA6F8VI,https://api.spotify.com/v1/tracks/4Ls20opS0EzPb7NuA6F8VI,https://api.spotify.com/v1/audio-analysis/4Ls20opS0EzPb7NuA6F8VI,255760,4
0.567,0.814,5,-5.009,0,0.033,0.439,6.21e-06,0.113,0.481,131.918,track,6r3CoPret0z1iBjUEnnlB8,spotify:track:6r3CoPret0z1iBjUEnnlB8,https://api.spotify.com/v1/tracks/6r3CoPret0z1iBjUEnnlB8,https://api.spotify.com/v1/audio-analysis/6r3CoPret0z1iBjUEnnlB8,198712,4
0.617,0.421,5,-8.089,1,0.0445,0.526,0.0,0.0929,0.444,120.021,track,6uWdq2JkWm76yNBeigEnSb,spotify:track:6uWdq2JkWm76yNBeigEnSb,https://api.spotify.com/v1/tracks/6uWdq2JkWm76yNBeigEnSb,https://api.spotify.com/v1/audio-analysis/6uWdq2JkWm76yNBeigEnSb,205480,4
0.366,0.0952,3,-14.707,1,0.0561,0.913,0.000315,0.255,0.18,151.165,track,0uySrxahH3ZTIDTFi66LC0,spotify:track:0uySrxahH3ZTIDTFi66LC0,https://api.spotify.com/v1/tracks/0uySrxahH3ZTIDTFi66LC0,https://api.spotify.com/v1/audio-analysis/0uySrxahH3ZTIDTFi66LC0,206507,4
0.535,0.487,8,-6.914,1,0.0282,0.606,0.0,0.123,0.314,137.139,track,4QnBRJaUqw1iopIT39mcZY,spotify:track:4QnBRJaUqw1iopIT39mcZY,https://api.spotify.com/v1/tracks/4QnBRJaUqw1iopIT39mcZY,https://api.spotify.com/v1/audio-analysis/4QnBRJaUqw1iopIT39mcZY,223840,4
0.4,0.383,0,-8.394,1,0.0345,0.663,0.0,0.113,0.118,121.812,track,5Vzko6BJyB4M3xKpoK5uHf,spotify:track:5Vzko6BJyB4M3xKpoK5uHf,https://api.spotify.com/v1/tracks/5Vzko6BJyB4M3xKpoK5uHf,https://api.spotify.com/v1/audio-analysis/5Vzko6BJyB4M3xKpoK5uHf,175600,4
0.307,0.18,5,-13.03,1,0.0315,0.917,1.44e-06,0.0753,0.158,98.33,track,4g345xmbPGGHDSv5sMLEsS,spotify:track:4g345xmbPGGHDSv5sMLEsS,https://api.spotify.com/v1/tracks/4g345xmbPGGHDSv5sMLEsS,https://api.spotify.com/v1/audio-analysis/4g345xmbPGGHDSv5sMLEsS,223693,4
0.42,0.491,0,-8.686,1,0.0375,0.652,0.0,0.144,0.264,126.398,track,0WRO7r36uDVlW6DDPF1Cxs,spotify:track:0WRO7r36uDVlW6DDPF1Cxs,https://api.spotify.com/v1/tracks/0WRO7r36uDVlW6DDPF1Cxs,https://api.spotify.com/v1/audio-analysis/0WRO7r36uDVlW6DDPF1Cxs,231232,4
0.508,0.621,0,-5.319,1,0.0341,0.461,0.0,0.139,0.401,87.96,track,7LsVUX6kePVHSohmWmAwaO,spotify:track:7LsVUX6kePVHSohmWmAwaO,https://api.spotify.com/v1/tracks/7LsVUX6kePVHSohmWmAwaO,https://api.spotify.com/v1/audio-analysis/7LsVUX6kePVHSohmWmAwaO,310373,4
